radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,250,2,7812,201491457,0,30.410337,59.849649,1000,19,1,1458925947,1484904394,0
LTE,250,2,7813,201345284,0,30.320206,59.885403,1000,25,1,1458925948,1491924547,0
LTE,250,2,7813,201217280,0,30.260503,59.886381,1536,63,1,1458925948,1552406071,0
LTE,250,2,7813,201220097,0,30.270133,59.884098,1000,13,1,1458925948,1490099068,0
LTE,250,2,7813,201220100,0,30.272415,59.88414,1000,5,1,1458925948,1490135420,0
LTE,250,2,7813,201231364,0,30.256638,59.887217,1000,43,1,1458925948,1573885996,0
LTE,250,2,7813,201220865,0,30.292178,59.880447,1581,101,1,1458925948,1552406015,0
LTE,250,2,7813,202024836,0,30.276260375977,59.888534545898,1000,1,1,1456316246,1456316246,0
LTE,250,2,7813,201221123,0,30.273628,59.892654,1000,12,1,1458925948,1474239858,0
LTE,250,2,7813,202016780,0,30.257034301758,59.887161254883,1000,5,1,1458925948,1477165227,0
LTE,250,2,7813,201345283,0,30.319725,59.890869,1000,20,1,1458925948,1491924547,0
LTE,250,2,7813,202059275,0,30.302811,59.884872,1000,3,1,1458925948,1487576798,0
LTE,250,2,7813,201231365,0,30.253225,59.888925,1000,13,1,1458925948,1550602899,0
LTE,250,2,7813,201216770,0,30.275574,59.886818,1000,4,1,1458925948,1483286450,0
LTE,250,2,7813,201344513,0,30.341492,59.894714,1000,2,1,1458925948,1472839026,0
LTE,250,2,7813,201357313,0,30.320205688477,59.883041381836,1000,1,1,1453535132,1453535132,0
LTE,250,2,7812,202079609,0,30.398483276367,59.828109741211,1000,1,1,1444315693,1444315693,0
LTE,250,2,7813,201357314,0,30.300557,59.883045,1000,9,1,1458925948,1550594931,0
LTE,250,2,7812,202072983,0,30.401229858398,59.833602905273,1000,2,1,1458925947,1490876872,0
LTE,250,2,7814,201477892,0,30.38473,59.826519,1000,8,1,1458925949,1505484321,0
LTE,250,2,7814,201475330,0,30.366897583008,59.845962524414,1000,1,1,1437126933,1437126933,0
LTE,250,2,7814,201346561,0,30.369644165039,59.839096069336,1000,2,1,1458925948,1472646743,0
LTE,250,2,7814,201222659,0,30.29158,59.856979,1167,28,1,1458925948,1552994732,0
LTE,250,2,7814,201347075,0,30.358881,59.845982,1607,6,1,1458925948,1492540200,0
LTE,250,2,7814,201344256,0,30.346275,59.846531,1000,7,1,1458925948,1505309682,0
LTE,250,2,7814,201349124,0,30.31429,59.847336,1000,13,1,1458925948,1490451213,0
LTE,250,2,7814,201347077,0,30.338882,59.836899,1000,5,1,1458925948,1490086686,0
LTE,250,2,7814,201345796,0,30.340513,59.850107,1000,24,1,1458925948,1505313694,0
LTE,250,2,7814,201357826,0,30.341424,59.852399,1000,24,1,1458925949,1559810641,0
LTE,250,2,7814,201351170,0,30.314713,59.846337,1000,11,1,1458925948,1491213529,0
LTE,250,2,7814,201352960,0,30.32844543457,59.844589233398,1000,1,1,1440307644,1440307644,0
LTE,250,2,7814,201346304,0,30.302727,59.854452,1000,11,1,1458925948,1490569045,0
LTE,250,2,7814,201344003,0,30.30647277832,59.844589233398,1000,1,1,1449100886,1449100886,0
LTE,250,2,7811,201472772,0,30.357918,59.889697,1000,13,1,1458925945,1474384206,0
LTE,250,2,7810,202084209,0,30.307846069336,59.914627075195,1000,1,1,1439464329,1439464329,0
LTE,250,2,7811,201472515,0,30.389291,59.899143,1044,11,1,1458925945,1506355333,0
LTE,250,2,7811,201000847,0,30.351791381836,59.921493530273,1000,2,1,1458925945,1470021663,0
LTE,250,2,7810,201348609,0,30.322919,59.904813,1000,41,1,1458925945,1489237196,0
LTE,250,2,7810,201987851,0,30.307846069336,59.910507202148,1000,4,1,1458925945,1465305855,0
LTE,250,2,7810,201348612,0,30.322802,59.904015,1000,55,1,1458925945,1489718511,0
LTE,250,2,7811,200090114,0,30.352821,59.917374,1000,4,1,1458925945,1480003334,0
LTE,250,2,7811,201480197,0,30.392951,59.87351,1000,8,1,1458925946,1506312815,0
LTE,250,2,7811,201488386,0,30.34246,59.91291,1000,7,1,1458925946,1559809932,0
LTE,250,2,7811,201487107,0,30.363272,59.908987,1000,4,1,1458925946,1506080125,0
LTE,250,2,7811,201478916,0,30.38681,59.864796,1000,14,1,1458925946,1473783566,0
LTE,250,2,7811,201483525,0,30.331795,59.913991,1000,41,1,1458925946,1492320147,0
LTE,250,2,7811,201478403,0,30.383377,59.879379,1000,9,1,1458925946,1491920482,0
LTE,250,2,7811,201473540,0,30.366331,59.865504,1000,16,1,1458925946,1505321997,0
LTE,250,2,7811,201483012,0,30.37704,59.880031,1195,6,1,1458925946,1565765172,0
LTE,250,2,7811,201483008,0,30.382004,59.888397,1000,10,1,1458925946,1487676822,0
LTE,250,2,7812,201479168,0,30.383377075195,59.854202270508,1000,1,1,1439734698,1439734698,0
LTE,250,2,7812,201475845,0,30.389557,59.845276,1000,4,1,1458925947,1488880481,0
LTE,250,2,7811,202068623,0,30.38200378418,59.870681762695,1000,1,1,1456790463,1456790463,0
LTE,250,2,7812,201472003,0,30.449295043945,59.843215942383,1000,1,1,1444057730,1444057730,0
LTE,250,2,7811,202027416,0,30.371162,59.880759,1533,35,1,1458925946,1565765241,0
LTE,250,2,7812,201475841,0,30.394995,59.841553,1000,5,1,1458925946,1505323833,0
LTE,250,2,7812,201482753,0,30.391273,59.850082,1000,4,1,1458925947,1490198418,0
LTE,250,2,7811,202027150,0,30.362778,59.901838,1000,16,1,1458925946,1483256943,0
LTE,250,2,7812,201481217,0,30.409334,59.820129,1000,40,1,1458925947,1550609508,0
LTE,250,2,7812,201475330,0,30.370409,59.846524,1176,40,1,1458925946,1505460515,0
LTE,250,2,7811,202027395,0,30.375137329102,59.884414672852,1000,1,1,1452881313,1452881313,0
LTE,250,2,7812,202016267,0,30.405349731445,59.873428344727,1000,1,1,1455885887,1455885887,0
LTE,250,2,7812,202065539,0,30.390243530273,59.848709106445,1000,1,1,1446343207,1446343207,0
LTE,250,2,7812,202058638,0,30.406036,59.838638,1000,6,1,1458925947,1488880481,0
LTE,250,2,7812,202065550,0,30.38063,59.836807,1000,3,1,1458925947,1485690350,0
LTE,250,2,7812,202058627,0,30.413589477539,59.840469360352,1000,1,1,1443701376,1443701376,0
LTE,250,2,7812,202058648,0,30.409779,59.839966,1000,5,1,1458925947,1505323787,0
LTE,250,2,7812,201491458,0,30.405349731445,59.852828979492,1000,1,1,1438781359,1438781359,0
LTE,250,2,7812,201490437,0,30.42307,59.863751,2003,12,1,1458925947,1506282890,0
LTE,250,2,7812,202058617,0,30.414962768555,59.83772277832,1000,1,1,1444002855,1444002855,0
LTE,250,2,7812,201490178,0,30.401402,59.874802,1000,8,1,1458925947,1492270194,0
LTE,250,2,7812,202065520,0,30.377883911133,59.833602905273,1000,1,1,1434281031,1434281031,0
LTE,250,2,7813,200975215,0,30.322952270508,59.889907836914,1000,1,1,1450369828,1450369828,0
LTE,250,2,7813,202032653,0,30.291366577148,59.880294799805,1000,1,1,1443459337,1443459337,0
LTE,250,2,7813,201357312,0,30.303325,59.887952,1000,3,1,1458925948,1548701317,0
LTE,250,2,7814,7378107,0,30.388870239258,59.817123413086,1000,1,1,1452613265,1452613265,0
LTE,250,2,7813,202024817,0,30.279006958008,59.889907836914,1000,1,1,1436090857,1436090857,0
LTE,250,2,7813,201216769,0,30.271654,59.888265,1000,19,1,1458925948,1552406072,0
LTE,250,2,7813,202059277,0,30.30647277832,59.88166809082,1000,1,1,1458263402,1458263402,0
LTE,250,2,7813,201349636,0,30.330028,59.891231,1000,16,1,1458925948,1506079209,0
LTE,250,2,7813,202024835,0,30.291366577148,59.88166809082,1000,1,1,1457339221,1457339221,0
LTE,250,2,7813,202024816,0,30.270767211914,59.884414672852,1000,1,1,1433693540,1433693540,0
LTE,250,2,7813,200975245,0,30.322411,59.888668,1000,6,1,1458925948,1505301068,0
LTE,250,2,7813,201348096,0,30.346298217773,59.888534545898,1000,1,1,1408433877,1408433877,0
LTE,250,2,7813,201229570,0,30.273862,59.885499,1000,7,1,1458925948,1546706823,0
LTE,250,2,7814,201346564,0,30.356369,59.842758,1000,6,1,1458925948,1490377768,0
LTE,250,2,7814,201351171,0,30.317459106445,59.844589233398,1000,1,1,1454976731,1454976731,0
LTE,250,2,7814,201346565,0,30.357056,59.841843,1000,6,1,1458925948,1480831319,0
LTE,250,2,7814,201346818,0,30.313683,59.838409,1000,12,1,1458925948,1491762802,0
LTE,250,2,7814,201350149,0,30.290496,59.856253,1255,89,1,1458925948,1550988028,0
LTE,250,2,7814,201222658,0,30.279437,59.854106,1000,53,1,1458925948,1573886241,0
LTE,250,2,7814,201346308,0,30.307846069336,59.850082397461,1000,1,1,1436196730,1436196730,0
LTE,250,2,7814,201354753,0,30.334103,59.838133,1923,15,1,1458925949,1505835030,0
LTE,250,2,7814,201344000,0,30.311965942383,59.843215942383,1000,1,1,1450809288,1450809288,0
LTE,250,2,7814,201346562,0,30.356584,59.842345,1000,5,1,1458925948,1505309487,0
LTE,250,2,7814,201344257,0,30.339432,59.844393,1000,7,1,1458925948,1491259176,0
LTE,250,2,7814,201344001,0,30.30304,59.835663,1000,2,1,1458925948,1474617505,0
LTE,250,2,7814,202049145,0,30.326385,59.852829,1000,12,1,1458925949,1492442869,0
LTE,250,2,7814,202036602,0,30.377883911133,59.82536315918,1000,1,1,1450275426,1450275426,0
LTE,250,2,7814,202075278,0,30.305492,59.851456,1000,21,1,1458925949,1492442869,0
LTE,250,2,7814,202075279,0,30.288824,59.860676,1000,21,1,1458925949,1552994737,0
LTE,250,2,7814,202036591,0,30.377883911133,59.832229614258,1000,1,1,1423239735,1423239735,0
LTE,250,2,7814,202049136,0,30.325698852539,59.851455688477,1000,1,1,1434459371,1434459371,0
LTE,250,2,7814,202036613,0,30.36003112793,59.822616577148,1000,1,1,1449939333,1449939333,0
LTE,250,2,7814,202075249,0,30.285873413086,59.862442016602,1000,1,1,1439986585,1439986585,0
LTE,250,2,7814,202036603,0,30.366897583008,59.826736450195,1000,1,1,1449939333,1449939333,0
LTE,250,2,7815,201098240,0,30.236148,59.895826,1000,5,1,1458925950,1546795624,0
LTE,250,2,7815,199955202,0,30.281753540039,59.917373657227,1000,1,1,1444740522,1444740522,0
LTE,250,2,7815,201224707,0,30.274311,59.903694,9451,28,1,1458925950,1505878762,0
LTE,250,2,7811,201472773,0,30.353704,59.895548,1000,28,1,1458925945,1474210612,0
LTE,250,2,7810,201987339,0,30.298233032227,59.910507202148,1000,4,1,1458925945,1480571380,0
LTE,250,2,7810,202084249,0,30.304184,59.916,1000,3,1,1458925945,1481027787,0
LTE,250,2,7810,202084227,0,30.30647277832,59.916000366211,1000,1,1,1450638778,1450638778,0
LTE,250,2,7811,200072705,0,30.343551635742,59.917373657227,1000,1,1,1441852727,1441852727,0
LTE,250,2,7810,201357573,0,30.326385,59.911352,1000,26,1,1458925945,1492320147,0
LTE,250,2,7811,201356033,0,30.349044799805,59.877548217773,1000,7,1,1458925945,1467214046,0
LTE,250,2,7811,201357058,0,30.339514,59.887614,1247,21,1,1458925945,1505386452,0
LTE,250,2,7810,201344517,0,30.331364,59.905014,1000,8,1,1458925945,1473130362,0
LTE,250,2,7810,201344515,0,30.341904,59.903641,1000,15,1,1458925945,1472825565,0
LTE,250,2,7811,202018827,0,30.354538,59.929047,1000,2,1,1458925946,1459383840,0
LTE,250,2,7811,201483265,0,30.343302,59.901765,2436,8,1,1458925946,1505316706,0
LTE,250,2,7811,201479685,0,30.358353,59.898039,1000,18,1,1458925946,1505324524,0
LTE,250,2,7811,201478402,0,30.378732,59.878403,1000,6,1,1458925946,1505320674,0
LTE,250,2,7811,201474051,0,30.405899,59.880295,1000,5,1,1458925946,1473516794,0
LTE,250,2,7811,201479680,0,30.362961,59.900026,1000,33,1,1458925946,1505320163,0
LTE,250,2,7811,201478400,0,30.384494,59.87975,1000,16,1,1458925946,1505320759,0
LTE,250,2,7811,201478915,0,30.387496948242,59.86930847168,1000,6,1,1458925946,1471184745,0
LTE,250,2,7811,201490691,0,30.350402,59.911122,1000,10,1,1458925946,1506079872,0
LTE,250,2,7811,202016524,0,30.346283,59.907624,1000,6,1,1458925946,1505313583,0
LTE,250,2,7811,202068621,0,30.383652,59.867935,1000,5,1,1458925946,1481646441,0
